,title,text,class
0,Российскому спорту предрекли новый триллер перед Олимпиадой-2020,"Четырехкратный олимпийский чемпион и кандидат в президенты Олимпийского комитета России (ОКР) Александр Попов опасается, что российский спорт ожидают новые допинг-разбирательства из-за утечки базы данных Московской антидопинговой лаборатории. «Это начало третьей серии триллера», — заявил он.",Спорт
1,На Урале оперативники пошли под суд за раскрытие выдуманных преступлений,"Трое курганских полицейских предстанут перед судом за то, что раскрывали выдуманные преступления и договаривались с невиновными людьми о признании вины. Они уговорили арестованного мужчину взять на себя несколько чужих преступлений — кражи и хранение оружия.",Силовые структуры
2,Николя Гескьеру снова удалось сохранить работу,"Дизайнер Николя Гескьер, креативный директор женских коллекций Louis Vuitton, сохранит свой пост. Французский модный дом продлил сотрудничество с модельером ввиду «беспрецедентного роста продаж женской одежды и аксессуаров», а также благодаря оригинальности организованных им модных показов.",Ценности
3,Украинцы похвастались попаданием по танку из американского Javelin,"Бойцы Вооруженных сил Украины во время испытаний американских противотанковых ракетных комплексов Javelin поразили танк. «Для проверки эффективности поражения целей огонь велся не по макету, а по реальному танку», — написал секретарь украинского Совета национальной безопасности и обороны Александр Турчинов.",Бывший СССР
4,Бывшего мэра Ялты и члена ОПГ «Греки» Андрея Ростенко отправили в СИЗО,"Басманный суд Москвы арестовал до 21 июля бывшего мэра Ялты Андрея Ростенко, обвиняемого в превышении должностных полномочий. Мера пресечения избрана по ходатайству следствия. Чиновник входил в организованную преступную группировку «Греки» и для нее занимался отъемом земель.",Силовые структуры
5,В Госдуме воспротивились запрету на отдых в «санкционных» странах,"Запрещать госслужащим выезжать на отдых в страны, которые ввели санкции в отношении России, на законодательном уровне не стоит, считает депутат Госдумы Михаил Дегтярев. «Вопрос отдыха любого человека — госслужащего или нет — лежит в плоскости ""прилично или неприлично""» — пояснил он свою позицию.",Россия
6,Корпорация МСП помогла открыть оздоровительный курорт в Петербурге,"Одним из основных направлений работы курорта «Первая линия» является репродуктивная медицина. Так, в число оздоровительных программ, входят специальные программы послеродовой реабилитации. В настоящее время руководство оздоровительного комплекса совместно с властями Петербурга прорабатывает возможности сотрудничества.",Экономика
7,Девушке предрекли скорую смерть из-за внимания зловещей птицы,"Во время прогулки по Саксонскому птичьему заповеднику молодой девушке опустился на голову крупный черный какаду, которого в сети приняли за героя произведения Эдгара Алана По и нарекли предвестником смерти. Птицу назвали «ангелом смерти» и посоветовали девушке смириться со своей судьбой.",Интернет и СМИ
8,Выявлена неожиданная опасность сидячего образа жизни,"Ученые Миланского университета выяснили, что физическая нагрузка на мышцы ног снижает риск возникновения нейродегенеративных заболеваний, включая рассеянный склероз или атрофию спинного мозга, а также препятствует их прогрессированию. Статья специалистов опубликована в журнале Frontiers in Neuroscience.",Наука и техника
9,Цыганский поселок разгромили после гибели чужака,"В Хакасии неизвестные разгромили поселок Кулацкий, в котором проживают преимущественно цыгане. Причиной погрома могло стать недавнее убийство жителя райцентра, которое произошло во время драки с местными жителями. В региональном отделении следственного комитета не располагают информацией о предполагаемом преступлении.",Россия
